ID,min_year,max_year
1,1985,2002
2,1958,1987
3,1977,1990
4,1976,1990
5,1973,1997
6,1978,1998
7,1975,2000
8,1975,2000
9,1975,2000
10,1975,2000
11,1975,2000
12,1975,2000
13,1975,2000
14,1975,2000
15,1975,2000
16,1975,2000
17,1975,2000
18,1975,2000
19,1975,2000
20,1975,2000
21,1971,2009
22,1971,2008
23,1975,2001
24,1971,2009
25,1973,1998
26,1971,2009
27,1971,2009
28,1969,1994
29,1975,1991
30,1983,1990
31,1965,2010
32,1959,1984
33,1970,1985
34,1978,1998
35,1983,1990
36,1970,1990
37,1975,1985
38,1973,1984
39,1965,2011
40,1970,1985
41,1976,1986
42,1984,1997
43,1989,1997
44,1978,1998
45,1978,1998
46,1984,1999
47,1984,2004
48,1976,2005
49,1965,2006
50,1975,2006
51,1976,1995
52,1975,2006
53,1975,2006
54,1972,2003
55,1959,1984
56,1983,1990
57,1963,1992
58,1959,1992
59,1961,1986
60,1961,1994
61,1961,1993
62,1970,1985
63,1983,1995
64,1973,1995
65,1973,1978
66,1975,1996
67,1968,1977
68,1968,1977
69,1962,1994
70,1978,1998
71,1983,1990
72,1965,2010
73,1970,2002
74,1970,1987
75,1965,2006
76,1981,2004
77,1965,2005
78,1983,1990
79,1965,2010
80,1959,1984
81,1977,1988
82,1950,1989
83,1950,1998
84,1965,2011
85,1983,1990
86,1967,1975
87,1959,1984
88,1988,1998
89,1950,1980
90,1965,1991
91,1990,1996
92,1965,2010
93,1972,2010
94,1990,2011
95,1989,2002
96,1978,1990
97,1980,1990
98,1980,1985
99,1978,1998
100,1969,1992
101,1965,2011
102,1983,1992
103,1976,1988
104,1980,1993
105,1978,1998
106,1965,2011
107,1965,2011
108,1978,1998
109,1970,1995
110,1979,1994
111,1967,2004
112,1970,2000
113,1959,1984
114,1983,1990
115,1965,2006
116,1973,1980
117,1970,1992
118,1976,1999
119,1970,2000
120,1987,1996
121,1965,2006
122,1978,1998
123,1977,2008
124,1976,1998
125,1998,2002
126,1975,2004
127,1961,1989
128,1966,1990
129,1959,1984
130,1983,1997
131,1978,1998
132,1975,1985
133,1975,2006
134,1994,2003
135,1978,1991
136,1992,1995
137,1971,1986
138,1983,1997
139,1983,1997
140,1978,1998
141,1976,1995
142,1978,1998
143,1983,1990
144,1991,1997
145,1959,1984
146,1969,1992
147,1964,1992
148,1958,1986
149,1965,1991
150,1965,1991
151,1965,2011
152,1985,1997
153,1980,1997
154,1965,2006
155,1983,1990
156,1965,2010
157,1969,1982
158,1972,1992
159,1991,1997
160,1969,1985
161,1960,1988
162,1965,1986
163,1983,1997
164,1986,1997
165,1984,1997
166,1970,2001
167,1985,1995
168,1959,1984
169,1983,1997
170,1978,1998
171,1969,1980
172,1982,1992
173,1974,1984
174,1974,1984
175,1975,1996
176,1975,1996
177,1982,1989
178,1975,1996
179,1975,1996
180,1975,1996
181,1990,1995
182,1990,1995
183,1990,1995
184,1990,1995
185,1990,1995
186,1990,1996
187,1978,2002
188,1988,1996
189,1981,2000
190,1979,1995
191,1970,1982
192,1981,2003
193,2001,2005
194,2001,2005
195,1989,1991
196,1977,1987
197,1975,1995
198,1980,2001
199,1967,2004
200,1972,1990
201,1975,1998
202,1958,1984
203,1985,2000
204,2000,2003
205,1979,1985
206,1966,1984
207,1966,1984
208,1979,1985
209,1966,1984
210,1976,2004
211,1966,1984
212,1988,1993
213,1980,1984
214,1966,1984
215,1979,1985
216,1980,2000
217,1966,1984
218,1956,1983
219,1979,1985
220,1963,1975
221,1969,1980
222,1978,1994
223,1977,1985
224,1985,1993
225,1976,1991
226,1977,2001
227,1976,1992
228,1985,1990
229,1974,1995
230,1974,2010
231,1982,1995
232,1997,1998
233,1996,1998
234,1972,2001
235,1989,1999
236,1953,2005
237,1970,2000
238,1975,2002
239,1979,1985
240,1976,1993
241,1982,1992
242,1983,1994
243,1975,1982
244,1976,1986
245,1994,1995
246,1991,1995
247,1976,1995
248,1977,1992
249,1976,1989
250,1989,1996
251,1992,1995
252,1991,1997
253,1950,1990
254,1973,1998
255,2000,2004
256,1984,1992
257,1976,1988
258,1975,1983
259,1972,1995
260,1983,1997
261,1973,1994
262,1976,1986
263,1975,1995
264,1968,1991
265,1966,2004
266,1970,2000
267,1974,2004
268,1960,1977
269,1950,1978
270,1966,2004
271,1975,1998
272,1984,1997
273,1978,1997
274,1989,1997
275,1978,1997
276,1982,1994
277,1983,2005
278,1950,1994
279,1950,1991
280,1960,1995
281,1982,1994
282,1960,1977
283,1975,1994
284,1975,1998
285,1975,1998
286,1983,1992
287,1986,1996
288,1979,2003
290,1981,1995
291,1968,1996
292,1955,1996
293,1966,2000
294,1988,1999
295,1970,1990
296,1990,1995
297,1959,1996
298,1960,1996
299,1972,1996
300,1950,1993
301,1989,1997
302,1983,1995
303,1970,2000
304,1966,2004
305,1975,1998
306,1973,1992
307,1982,1992
308,1973,1992
309,1991,2000
310,1978,1997
311,1979,1997
312,1975,1998
313,1975,1998
314,1963,1982
315,1975,1998
316,1975,1998
317,1970,1997
318,1975,1998
319,1975,1998
320,1975,1998
321,1975,1998
322,1975,1998
323,1975,1998
324,1995,2000
325,1991,2000
326,1991,2000
327,1991,2000
328,1992,2000
329,1993,2000
330,1991,2000
331,1994,2000
332,1991,2000
333,1991,2000
334,1991,2000
335,1994,2000
336,1970,1993
337,1978,2000
338,1989,2000
339,1975,1998
340,1975,1998
341,1958,1988
342,1966,2004
343,1975,1998
344,1984,1996
345,1970,2000
346,1966,2004
347,1975,1998
348,1978,1997
349,1978,1997
350,1975,1998
351,1961,1991
352,1970,1998
353,1966,2004
354,1975,1998
355,1981,1996
356,1978,1995
357,1975,1998
358,1963,1982
359,1975,1998
360,1980,1999
361,1977,1988
362,1982,1994
363,1980,1994
364,1984,1994
365,1980,1994
366,1983,1997
367,1982,1994
368,1975,1998
369,1975,1998
370,1975,1998
371,1970,1996
372,1975,1998
373,1986,1997
374,1960,1977
375,1975,1998
376,1975,1998
377,1990,2001
378,1990,2001
379,1990,2001
380,1990,2001
381,1990,2001
382,1990,2001
383,1966,2004
384,1951,1980
385,1970,2000
386,1975,1998
387,1963,1982
388,1960,1977
389,1966,2004
390,1975,1998
391,1970,1999
392,1975,1998
393,1991,2000
394,1991,2000
395,1991,2000
396,1991,2000
397,1991,2000
398,1991,2000
399,1991,2000
400,1991,2000
401,1991,2000
402,1975,1998
403,1983,1995
404,1975,1998
405,1958,1982
406,1970,1995
407,1970,2003
408,1975,1998
409,1975,1998
410,1975,1998
411,1975,1998
412,1953,1980
413,1963,1982
414,1966,2004
415,1975,1998
416,1975,1998
417,1966,2004
418,1976,2004
419,1975,1998
420,1966,2004
421,1975,1998
422,1966,2004
423,1975,1998
424,1975,1998
425,1978,1995
426,1975,1998
427,1978,1995
428,1975,1994
429,1980,1991
430,1978,1995
431,1963,1982
432,1975,1998
433,1960,1977
434,1975,1998
435,1975,1998
436,1984,1995
437,1975,1998
438,1966,2004
439,1975,1998
440,1975,1998
441,1984,1995
442,1994,2001
443,1966,2004
444,1975,1998
445,1985,1995
446,1966,2004
447,1966,2004
448,1977,1990
449,1975,1998
450,1960,1977
451,1975,1998
452,1960,1980
453,1975,1998
454,1978,1997
455,1978,1997
456,1975,1998
457,1965,1996
458,1984,1995
459,1990,2001
460,1990,2001
461,1990,2001
462,1976,1995
463,1990,2001
464,1990,2001
465,1990,2001
466,1988,1999
467,1988,1999
468,1962,1975
469,1964,1975
470,1960,1977
471,1975,1998
472,1963,1982
473,1960,1980
474,1975,1998
475,1960,1977
476,1975,1998
477,1966,2004
478,1975,1998
479,1975,1998
480,1975,1998
481,1993,2000
482,1991,2000
483,1991,2000
484,1991,2000
485,1991,2000
486,1991,2000
487,1991,2000
488,1991,2000
489,1991,2000
490,1992,2000
