"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Abramis_ballerus","Abramis_ballerus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0859831022211338,-0.0859831022211339,-0.0859831022211338,-0.0859831022211339,-0.0859831022211339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abramis_brama","Abramis_brama",30,1,NA,NA,NA,NA,NA,NA,0.0617176259609991,0.0721043757780686,0.0858652614540973,0.0922120055668392,0.085051310579332,0.0653694890366778,0.0377949443485783,0.00808930436849664,-0.0167223622781265,-0.0301174523707171,NA,NA,NA,NA,NA,0,0,0,-0.5,0.310420538193522,0.0761182456583862,0.22327268913478,0.199221546131045,0.199221546131045,0.231043749010747,0.231043749010747,0.231043749010747,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,NA,NA,0.262670232060105,0.759725143362308,-0.373355869723079,NA,NA,NA
"Abramites_hypselonotus","Abramites_hypselonotus",72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137045841955017,-0.120373106062012,-0.0692402301328296,-0.0298177867778023,-0.0196798070207814,-0.032060110656333,-0.0456999349273342
"Abrawayaomys_ruschii","Abrawayaomys_ruschii",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA
"Abrothrix_longipilis","Abrothrix_longipilis",21,1,NA,NA,NA,NA,0.138070683943207,NA,NA,NA,NA,NA,-0.0395240263205814,-0.0396501795521422,-0.0401196640258163,-0.0411067368405753,-0.0426258317082788,-0.0446363228424291,-0.0471613518109499,-0.0502567598413965,-0.0539335060161861,-0.058166655697975,-0.0628810429055395,-0.0677774122541555,-0.0721913529068834,-0.0753188129073442,-0.0767436539452725,-0.0767633786823771,-0.076172230044375,-0.0757158696168618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix_olivaceus","Abrothrix_olivaceus",24,1,NA,NA,NA,NA,-0.510506451379062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.26894467106775,-0.204489305807855,-0.091643468426907,0.0164185430136271,0.0557422063322863,0.00526808940585888,-0.086087801308146,-0.141050093502282,-0.130604166844798,-0.098054367253208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_bengalensis","Abudefduf_bengalensis",49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.314719641914602,-0.112533392221309,-0.106790043923253,-0.094119743612371,-0.0748783682441331,-0.0523765897407963,-0.0304402664394357,-0.0109922219939681,0.00623397638610194,0.0221457293180687,0.0368624205508659,0.0496702406478366,0.0598387389120264,0.0671086255785547,0.0715579649961639,0.0734972623114054,NA
"Abudefduf_saxatilis","Abudefduf_saxatilis",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0698970004336019,-0.0698970004336017,-0.0698970004336019,0.0973037642568271,-0.0698970004336019,-0.0698970004336019,-0.0698970004336019,-0.0698970004336019,-0.0698970004336017,-0.0698970004336019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abudefduf_sexfasciatus","Abudefduf_sexfasciatus",42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00969386623671786,-0.00984539381091099,-0.0101043967340189,-0.0104097223689169,-0.0107699576753541,-0.0112443360098564,0.032413030167868,0.0329639734514808,0.0346392059148262,0.037217433200494,0.0401377667875744,0.0427863174362871,0.0447447257630898,0.0458905337782951,0.0463525023157524,NA
"Abudefduf_sordidus","Abudefduf_sordidus",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.125566222057267,-0.120391414053514,-0.113192687678573,-0.107603061289966,-0.103398306998307,-0.0974715750022204,-0.0874154814824357,-0.0713405511209706,-0.0449194765690317,-0.00271988707079085,0.0545933205047665,0.115664764769326,0.164362748425546,0.191690461106925,0.201094181535753,NA
