"Binomial","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Order","global_abundance"
"Acanthis flammea",1,1.64977875903014,1.06999968897331,1.11591372080785,1.06447012830031,5.52169633124181,3.6385155142804,6.07784168452941,5.32001552747337,2.84820119059684,"Passeriformes",255561375
"Accipiter badius",1,0.896694214876031,0.793388429752065,0.690082644628098,0.586776859504131,0.483471074380164,0.380165289256198,NA,NA,NA,"Accipitriformes",8192281
"Accipiter cooperii",1,0.969072164948454,0.996251171508904,0.990627928772259,1.01780693533271,NA,NA,NA,NA,NA,"Accipitriformes",2701765
"Accipiter gentilis",1,0.99,1.08,1.287,1.269,NA,NA,NA,NA,NA,"Accipitriformes",1712821
"Accipiter nisus",1,2.40760406679145,2.64093040630207,2.09277930926338,2.17597135289929,2.67891191226788,2.68834265727618,2.28035136814217,2.53252137003132,2.28746454537918,"Accipitriformes",18706083
"Accipiter striatus",1,1.26043547338774,1.52513179750126,1.0857180255651,1.16919729905395,NA,NA,NA,NA,NA,"Accipitriformes",1282643
"Acrocephalus arundinaceus",1,1.10348036951012,0.935812518607703,1.07721298903953,1.00223909107514,0.962229016959115,1.02091600025024,0.841988811108158,0.897892583014327,1.84645305608082,"Passeriformes",24440618
"Acrocephalus palustris",1,1.02470512579513,1.01696085049519,1.12557061956428,1.07609789809946,1.0262982473738,0.880635058207569,0.913531264059418,0.873221840986343,0.90722567749681,"Passeriformes",4790312
"Acrocephalus schoenobaenus",1,1.09780596128037,0.930385243851042,1.01740319269229,0.916895550626967,0.759778202391694,0.759860039145974,0.83707946177376,0.844759542603987,0.833396191160129,"Passeriformes",21454553
"Acrocephalus scirpaceus",1,1.00888384858569,0.948253233014935,0.927498429610079,0.916305274472738,0.921358711914516,0.914429712194596,0.944642742736624,0.917679873161097,2.04268988217227,"Passeriformes",18408664
"Actitis hypoleucos",1,1.12070568672469,1.51120086263129,1.53897943372271,1.93421368286905,2.02674501139171,2.13314694937176,0.611727359498663,0.622808135937163,0.678273248265569,"Charadriiformes",55736589
"Actitis macularius",1,0.970865646614965,0.945084887864179,0.878893313770698,0.947138964577657,NA,NA,NA,NA,NA,"Charadriiformes",21020647
"Aegithalos caudatus",1,0.970508321207834,1.04192103793234,0.846107921160908,1.00927074584455,1.0268649703809,1.06688888390411,1.10319718535969,0.886087056008955,2.3232111160212,"Passeriformes",18889928
"Aegolius acadicus",1,1.2972972972973,1.55405405405405,0.22972972972973,0.513513513513513,NA,NA,NA,NA,NA,"Strigiformes",336152
"Aeronautes saxatalis",1,0.964730290456432,0.943983402489627,0.775933609958506,0.79253112033195,NA,NA,NA,NA,NA,"Caprimulgiformes",3815132
"Agelaius phoeniceus",1,1.01008374851571,1.03884599194557,1.11035955945642,1.12345586710813,NA,NA,NA,NA,NA,"Passeriformes",418284484
"Aix sponsa",1,1.01274697259401,1.01338432122371,1.08922880815806,1.11854684512428,NA,NA,NA,NA,NA,"Anseriformes",12889322
"Alauda arvensis",1,0.938775891932298,0.938344365059802,0.923569240925192,0.902427003450187,0.873468669784599,0.895391995116463,0.87335841060287,0.855469508108785,1.73133684670278,"Passeriformes",36454980
"Alauda razae",1,3.20576131687243,3.18106995884773,2.7037037037037,2.40740740740741,1.85185185185185,1.86831275720164,3.11522633744856,NA,NA,"Passeriformes",418032
"Alca torda",1,0.976744186046512,1.09302325581395,1.18604651162791,1.51162790697674,1.80232558139535,NA,NA,NA,NA,"Charadriiformes",11239062
"Alcedo atthis",1,1.23552579391052,1.05392159441656,1.57919594435179,2.1856694264185,2.4678576288195,2.459833857662,1.67677048051634,1.58593058888503,1.99052036965443,"Coraciiformes",15900598
"Alectoris rufa",1,0.918294109403733,0.953402842813669,0.74602378537155,0.680086279665441,0.68015558895073,0.711371463669989,0.667444622420041,0.660389737957883,1.34457630918211,"Galliformes",1496778
"Amazona auropalliata",1,0.937267657992565,0.873074880509825,0.808882103027084,0.744689325544344,0.67684545937334,0.609001593202337,NA,NA,NA,"Psittaciformes",621670
"Amazona brasiliensis",1,1.45017006802721,1.18843537414966,1.11751700680272,1.51156462585034,NA,NA,NA,NA,NA,"Psittaciformes",1475
"Ammodramus savannarum",1,1.00636942675159,1.13202084539664,1.10162130862768,0.865662999420961,NA,NA,NA,NA,NA,"Passeriformes",14314999
"Ammospiza leconteii",1,1.02958280149575,1.02120447668503,0.945765938610748,0.874592122197117,0.937866994357897,NA,NA,NA,NA,"Passeriformes",13492916
"Ammospiza nelsoni",1,1.10327706057597,1.16087388282026,1.29923866269447,1.02284011916584,NA,NA,NA,NA,NA,"Passeriformes",5880042
"Anas acuta",1,1.11920231273951,0.014523990117955,0.00187177281807029,0.00249772130227647,NA,NA,NA,NA,NA,"Anseriformes",98587756
"Anas crecca",1,0.31252490935687,0.241734761218456,0.00202181395412299,0.00202414780377568,NA,NA,NA,NA,NA,"Anseriformes",56760899
"Anas platyrhynchos",1,0.793173115670233,0.697582050894468,0.0742918566940942,0.0706029436008097,0.482795029285531,0.468012898502439,0.486638172060549,0.45601255778876,0.471517857778941,"Anseriformes",167717060
"Anas poecilorhyncha",1,1.85858585858586,2.70707070707071,NA,NA,NA,NA,NA,NA,NA,"Anseriformes",8172307
"Anas rubripes",1,0.969319492502884,0.940484429065744,0.748373702422145,0.790311418685121,NA,NA,NA,NA,NA,"Anseriformes",18953154
"Anous tenuirostris",1,0.934336075055441,0.868672150110883,0.803008225166325,0.994113925264106,NA,NA,NA,NA,NA,"Charadriiformes",46533938
"Anser albifrons",1,1.58169632121432,1.65946232775277,NA,NA,NA,NA,NA,NA,NA,"Anseriformes",77365597
"Anser anser",1,1.10544611819235,1.19930475086906,1.64799794000258,2.26960216299729,2.39165701042874,NA,NA,NA,NA,"Anseriformes",64105549
"Anser caerulescens",1,1.06096529441805,1.19478951644737,1.09618871601975,NA,NA,NA,NA,NA,NA,"Anseriformes",83913086
"Anser rossii",1,0.987693506911886,1.12516035689837,0.776481179996664,NA,NA,NA,NA,NA,NA,"Anseriformes",2919586
"Anthochaera carunculata",1,0.749977780111578,0.531003831591104,0.354934140063528,NA,NA,NA,NA,NA,NA,"Passeriformes",4488258
"Anthus campestris",1,1.24354053392638,1.09327257208796,1.33971844939343,1.00492856911616,0.95615917844058,0.958559538448284,0.97566570011649,1.14908182534496,2.12967630034333,"Passeriformes",13232699
"Anthus pratensis",1,0.652667985354989,0.391277041842111,0.412466253923309,0.490749714405754,0.472884548235684,0.478934574030879,0.473627673558766,0.482563391577879,0.487297352198483,"Passeriformes",245281141
"Anthus rubescens",1,0.931034482758621,0.913793103448276,0.827586206896552,0.775862068965517,NA,NA,NA,NA,NA,"Passeriformes",3363022
"Anthus spinoletta",1,1.13816343723673,1.10811569783769,1.54984554900309,1.30890199382196,1.38416175231676,1.36310025273799,1.63493400730132,1.51783206964336,NA,"Passeriformes",14704144
"Anthus spragueii",1,0.83861852433281,0.849293563579278,1.69544740973312,1.67660910518053,NA,NA,NA,NA,NA,"Passeriformes",2528589
"Anthus trivialis",1,0.962492323131198,0.904569779582968,0.98542369547886,0.942053416531668,0.889088305885481,0.900999339051646,0.940893992107989,0.925747732251995,1.84275821318746,"Passeriformes",28396612
"Antigone canadensis",1,1.49000264247335,1.28820576059191,1.94201239026395,1.61820664141637,NA,NA,NA,NA,NA,"Gruiformes",17295706
"Antigone vipio",1,1.39237466226359,0.34944461122786,0.271389972981087,0.996697688381869,NA,NA,NA,NA,NA,"Gruiformes",4361199
"Antrostomus vociferus",1,1.10169491525424,0.988700564971752,1.07344632768362,1.00564971751412,NA,NA,NA,NA,NA,"Caprimulgiformes",1767806
"Apus apus",1,1.03613643088641,1.06198265423738,1.03377598259534,0.989359188796931,0.943699480733524,0.882776472500273,0.980057970719114,0.874692207031789,1.93632730061491,"Caprimulgiformes",129654873
"Aquila chrysaetos",1,0.00423455396031616,0.00421438941764799,0.00697693176318758,0.00834812066462329,NA,NA,NA,NA,NA,"Accipitriformes",3515253
