"Family","Genus","Species","Body Mass(gram)","Binomial"
"Accipitridae","Accipiter","bicolor",301,"Accipiter bicolor"
"Accipitridae","Accipiter","brevipes",188,"Accipiter brevipes"
"Accipitridae","Accipiter","castanilius",160,"Accipiter castanilius"
"Accipitridae","Accipiter","chilensis",368,"Accipiter chilensis"
"Accipitridae","Accipiter","chionogaster",76,"Accipiter chionogaster"
"Accipitridae","Accipiter","cirrhocephalus",172,"Accipiter cirrhocephalus"
"Accipitridae","Accipiter","collaris",154.4,"Accipiter collaris"
"Accipitridae","Accipiter","cooperii",439,"Accipiter cooperii"
"Accipitridae","Accipiter","erythronemius",125,"Accipiter erythronemius"
"Accipitridae","Accipiter","erythropus",115,"Accipiter erythropus"
"Accipitridae","Accipiter","fasciatus",381,"Accipiter fasciatus"
"Accipitridae","Accipiter","gentilis",902,"Accipiter gentilis"
"Accipitridae","Accipiter","gularis",222,"Accipiter gularis"
"Accipitridae","Accipiter","melanoleucus",699,"Accipiter melanoleucus"
"Accipitridae","Accipiter","minullus",88.4,"Accipiter minullus"
"Accipitridae","Accipiter","nisus",238,"Accipiter nisus"
"Accipitridae","Accipiter","novaehollandiae",376,"Accipiter novaehollandiae"
"Accipitridae","Accipiter","ovampensis",195,"Accipiter ovampensis"
"Accipitridae","Accipiter","poliogaster",215,"Accipiter poliogaster"
"Accipitridae","Accipiter","rufiventris",198,"Accipiter rufiventris"
"Accipitridae","Accipiter","soloensis",166,"Accipiter soloensis"
"Accipitridae","Accipiter","striatus",136,"Accipiter striatus"
"Accipitridae","Accipiter","superciliosus",104,"Accipiter superciliosus"
"Accipitridae","Accipiter","tachiro",292,"Accipiter tachiro"
"Accipitridae","Accipiter","trivirgatus",276,"Accipiter trivirgatus"
"Accipitridae","Accipiter","ventralis",233,"Accipiter ventralis"
"Accipitridae","Accipiter","virgatus",116,"Accipiter virgatus"
"Accipitridae","Aegypius","monachus",9625,"Aegypius monachus"
"Accipitridae","Aegypius","occipitalis",4700,"Aegypius occipitalis"
"Accipitridae","Aegypius","tracheliotus",6600,"Aegypius tracheliotus"
"Accipitridae","Aquila","audax",3466,"Aquila audax"
"Accipitridae","Aquila","chrysaetos",4264,"Aquila chrysaetos"
"Accipitridae","Aquila","clanga",2206,"Aquila clanga"
"Accipitridae","Aquila","heliaca",3215,"Aquila heliaca"
"Accipitridae","Aquila","nipalensis",2746,"Aquila nipalensis"
"Accipitridae","Aquila","pomarina",1370,"Aquila pomarina"
"Accipitridae","Aquila","rapax",2250,"Aquila rapax"
"Accipitridae","Aquila","verreauxi",4195,"Aquila verreauxi"
