"Binomial","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Abramis brama",NA,NA,NA,NA,0,0,0,-0.5,0.310420538193522,0.0761182456583862,0.22327268913478,0.199221546131045,0.199221546131045,0.231043749010747,0.231043749010747,0.231043749010747,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,NA,NA,0.262670232060105
"Abudefduf bengalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.314719641914602,-0.112533392221309,-0.106790043923253,-0.094119743612371,-0.0748783682441331,-0.0523765897407963,-0.0304402664394357,-0.0109922219939681,0.00623397638610194,0.0221457293180687,0.0368624205508659,0.0496702406478366
"Abudefduf vaigiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.614390259888311,-0.252681669521726,-0.240686515786857,-0.210193189353845,-0.16351097651891,-0.11467702874102,-0.0768673929818694,-0.0566774602746976,-0.0403007165078408,-0.0202716839817634,0.00378939744422013,0.0291332591300649
"Acanthis flammea",-0.0480929990168712,-0.0328760591073693,-0.0144426337085202,0.014611744657191,0.0328619014469793,0.104093060372623,0.109620778530212,0.103416035255331,-0.0182350764872343,-0.0287271159470024,-0.00314530236189198,0.00327841183086421,0.00605381890446744,0.110504525196446,0.0355697300623457,0.0402468777056289,0.0419734185588877,0.0466169792083849,0.0503482706365709,0.0530716012916957,0.0550724319365457,0.00523307488685615,0.00785995174216092,0.0103278120647073,-0.00222770919569874
"Acanthiza uropygialis",-0.0176179311690705,-0.0274905744649574,-0.0385502954826966,-0.0499647920690682,-0.0610521984565662,-0.0706197556171869,-0.076051168018837,-0.0742904320279044,-0.0647715532558417,-0.0510454867869331,-0.0383437896542388,-0.0290989786893001,-0.0215336988519459,-0.0130635430406204,-0.0042091555877809,0.00196213696500203,0.00390611477981428,0.00354765960768932,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus berda",-0.243847912692557,0.136353174232369,-0.00485716603577176,-0.000142412937060706,0.00522576937153629,0.0593535224989706,0.131562939519091,0.134409664807567,0.0219097534633349,0.0440654358779066,0.0428731249837062,0.0420635792291217,0.040825782110959,-0.335189339321036,0.132041550503077,0.252577064526755,-0.2277371096302,0.219333685110837,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus butcheri",-0.130623727214647,-0.0844283336578654,-0.044362499878111,0.0448370839190562,0.185667433170875,0.262671037582188,0.169005628107642,-0.0268202087189341,-0.129616082374097,-0.0545793351653615,0.0616256180937633,0.0457962197237452,-0.0707621023878079,-0.0931207492852523,0.0589051152048093,0.227196944035741,NA,NA,NA,NA,0.994427376807653,NA,NA,NA,NA
"Acanthostracion quadricornis",-0.0280659561599802,-0.0280659561599802,-0.0280659561599801,-0.0280659561599802,-0.0280659561599801,-0.0280659561599801,-0.0280659561599801,-0.0280659561599803,-0.0280659561599801,-0.0280659561599801,0.0382223715498107,0.0382223715498107,0.0382223715498105,0.0382223715498107,0.0382223715498107,0.0382223715498107,0.0382223715498107,0.0382223715498107,0.0382223715498107,0.0382223715498106,0.0382223715498107,0.0382223715498106,0.0382223715498108,0.0382223715498107,NA
"Acanthurus achilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136131482051019,0.0122338124442398,0.0066716401768289,-0.00944446124704697,-0.0427887373762166,-0.0910934365047571,-0.136937697369602,-0.154620177017177,-0.127186152250374,-0.0590030170272381,0.0269789760821129,0.103751007567029,0.154152311785624
"Acanthurus blochii",NA,NA,0.00663367265053096,0.00663367265053097,0.00663367265053091,0.00663367265053084,0.00663367265053094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.255998704327557,-0.255998704327557,-0.255998704327558,0.120697081562774,0.120697081562773,0.19174305273454,0.191743052734541
