"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"Oreothlypis peregrina","Leiothlypis peregrina",FALSE,1,430151,TRUE,"",1
"Oceanodroma tethys","Hydrobates tethys",FALSE,1,603905,TRUE,"",1
"Phylloscopus borealis","Seicercus borealis",FALSE,1,256518,TRUE,"",1
"Oreothlypis celata","Leiothlypis celata",FALSE,1,88835,TRUE,"",1
"Phalaropus fulicarius","Phalaropus fulicaria",FALSE,1,809003,TRUE,"",1
"Pastor roseus","Sturnus roseus",FALSE,1,844091,TRUE,"sibling_higher",1
"Chlidonias hybrida","Chlidonias hybridus",FALSE,1,915886,TRUE,"",1
"Spatula querquedula","Anas querquedula",FALSE,1,604176,TRUE,"sibling_higher",1
"Phoeniconaias minor","Phoenicoparrus minor",FALSE,1,1030753,TRUE,"",1
"Phalacrocorax brasilianus","Nannopterum brasilianus",FALSE,1,109023,TRUE,"",1
"Phylloscopus inornatus","Abrornis inornata",FALSE,1,930297,TRUE,"",1
"Spatula discors","Anas discors",FALSE,1,82415,TRUE,"sibling_higher",1
"Chroicocephalus philadelphia","Larus philadelphia",FALSE,1,1026258,TRUE,"",1
"Phalacrocorax auritus","Nannopterum auritus",FALSE,1,170200,TRUE,"",1
"Dryobates pubescens","Picoides pubescens",FALSE,1,873958,TRUE,"sibling_higher",1
"Spermestes cucullata","Lonchura cucullata",FALSE,1,890352,TRUE,"sibling_higher",1
"Oceanodroma leucorhoa","Hydrobates leucorhous",FALSE,1,944658,TRUE,"",1
"Actitis macularius","Actitis macularia",FALSE,1,810558,TRUE,"",1
"Vanellus spinosus","Hoplopterus spinosus",FALSE,1,313115,TRUE,"",1
"Apus melba","Tachymarptis melba",FALSE,1,795151,TRUE,"",1
"Thalasseus elegans","Sterna elegans",FALSE,1,341032,TRUE,"",1
"Thraupis episcopus","Tangara episcopus",FALSE,1,817632,TRUE,"",1
"Himantopus leucocephalus","Himantopus himantopus leucocephalus",FALSE,1,293656,TRUE,"infraspecific",1
"Melozone crissalis","Kieneria crissalis",FALSE,1,463032,TRUE,"",1
"Spodiopsar cineraceus","Sturnus cineraceus",FALSE,1,499641,TRUE,"sibling_higher",1
"Artamus leucorynchus","Artamus leucorhynchus",FALSE,1,1054555,TRUE,"",1
"Thalassarche melanophris","Thalassarche melanophrys",FALSE,1,320271,TRUE,"",1
"Dryobates villosus","Picoides villosus",FALSE,1,733988,TRUE,"sibling_higher",1
"Thraupis palmarum","Tangara palmarum",FALSE,1,516965,TRUE,"",1
"Thalasseus bengalensis","Sterna bengalensis",FALSE,1,341036,TRUE,"",1
"Microcarbo africanus","Phalacrocorax africanus",FALSE,1,3600675,TRUE,"",1
"Gracupica contra","Sturnus contra",FALSE,1,844085,TRUE,"sibling_higher",1
"Eolophus roseicapilla","Eolophus roseicapillus",FALSE,1,900913,TRUE,"",1
"Phylloscopus proregulus","Abrornis proregulus",FALSE,1,930298,TRUE,"",1
"Tarsiger cyanurus","Luscinia cyanura",FALSE,1,131992,TRUE,"",1
"Petrochelidon nigricans","Hirundo nigricans",FALSE,1,119537,TRUE,"",1
"Spatula cyanoptera","Anas cyanoptera",FALSE,1,82411,TRUE,"sibling_higher",1
"Phalacrocorax bougainvillii","Leucocarbo bougainvillii",FALSE,1,9834,TRUE,"",1
"Phylloscopus examinandus","Seicercus examinandus",FALSE,1,570880,TRUE,"",1
"Melozone fusca","Kieneria fusca",FALSE,1,463029,TRUE,"",1
"Euodice malabarica","Lonchura malabarica",FALSE,1,596766,TRUE,"sibling_higher",1
"Saxicola torquatus","Saxicola torquata",FALSE,1,825641,TRUE,"",1
"Sinosuthora webbiana","Paradoxornis webbianus",FALSE,1,802901,TRUE,"",1
"Calidris falcinellus","Limicola falcinellus",FALSE,1,651066,TRUE,"",1
"Phylloscopus humei","Abrornis humei",FALSE,1,726306,TRUE,"",1
"Chroicocephalus brunnicephalus","Larus brunnicephalus",FALSE,1,704181,TRUE,"",1
"Sylvia melanocephala","Curruca melanocephala",FALSE,1,1093905,TRUE,"",1
"Thraupis sayaca","Tangara sayaca",FALSE,1,946076,TRUE,"",1
"Alaudala rufescens","Calandrella rufescens",FALSE,1,781908,TRUE,"",1
"Tachycineta leucopyga","Tachycineta meyeni",FALSE,1,621802,TRUE,"",1
"Oceanodroma furcata","Hydrobates furcatus",FALSE,1,603908,TRUE,"",1
"Emberiza spodocephala","Schoeniclus spodocephala",FALSE,1,613879,TRUE,"",1
"Spatula clypeata","Anas clypeata",FALSE,1,656794,TRUE,"sibling_higher",1
"Phalacrocorax atriceps","Leucocarbo atriceps",FALSE,1,446659,TRUE,"",1
"Columbina squammata","Scardafella squammata",FALSE,1,28925,TRUE,"",1
"Emberiza aureola","Schoeniclus aureolus",FALSE,1,45309,TRUE,"",1
"Egretta novaehollandiae","Ardea novaehollandiae",FALSE,1,1032052,TRUE,"",1
"Hypsipetes amaurotis","Microscelis amaurotis",FALSE,1,1010893,TRUE,"",1
"Spatula rhynchotis","Anas rhynchotis",FALSE,1,962755,TRUE,"sibling_higher",1
"Phalacrocorax pelagicus","Urile pelagicus",FALSE,1,744568,TRUE,"",1
"Rupornis magnirostris","Buteo magnirostris",FALSE,1,458089,TRUE,"sibling_higher",1
"Thectocercus acuticaudatus","Psittacara acuticaudatus",FALSE,1,33329,TRUE,"",1
"Larvivora cyane","Luscinia cyane",FALSE,1,812517,TRUE,"",1
"Spodiopsar sericeus","Sturnus sericeus",FALSE,1,661325,TRUE,"sibling_higher",1
"Psilopogon haemacephalus","Megalaima haemacephala",FALSE,1,738739,TRUE,"",1
"Phalacrocorax aristotelis","Gulosus aristotelis",FALSE,1,1021952,TRUE,"",1
"Agelaioides badius","Molothrus badius",FALSE,1,992776,TRUE,"",1
"Gracupica nigricollis","Sturnus nigricollis",FALSE,1,366471,TRUE,"sibling_higher",1
"Emberiza elegans","Schoeniclus elegans",FALSE,1,167343,TRUE,"",1
"Larvivora sibilans","Luscinia sibilans",FALSE,1,45312,TRUE,"",1
"Agelasticus thilius","Chrysomus thilius",FALSE,1,305330,TRUE,"sibling_higher",1
"Spermestes bicolor","Lonchura bicolor",FALSE,1,998135,TRUE,"sibling_higher",1
"Aethia psittacula","Cyclorrhynchus psittacula",FALSE,1,280907,TRUE,"",1
"Turdoides caudata","Argya caudata",FALSE,1,3598533,TRUE,"",1
"Chaetura meridionalis","Chaetura andrei meridionalis",FALSE,1,3595850,TRUE,"infraspecific",1
"Lophoceros nasutus","Tockus camurus",TRUE,0.833333313465118,383917,FALSE,"",1
"Zapornia pusilla","Porzana pusilla",FALSE,1,32330,TRUE,"",1
"Sylvia conspicillata","Curruca conspicillata",FALSE,1,961447,TRUE,"",1
"Tribonyx ventralis","Gallinula ventralis",FALSE,1,3599913,TRUE,"",1
"Chroicocephalus serranus","Larus serranus",FALSE,1,416080,TRUE,"",1
"Carpodacus sibiricus","Uragus sibiricus",FALSE,1,253382,TRUE,"",1
"Radjah radjah","Tadorna radjah",FALSE,1,522863,TRUE,"",1
"Merops nubicoides","Merops nubicus nubicoides",FALSE,1,5560130,TRUE,"infraspecific",1
"Bucanetes mongolicus","Eremopsaltria mongolica",FALSE,1,235463,TRUE,"",1
"Chroicocephalus hartlaubii","Larus hartlaubii",FALSE,1,241571,TRUE,"",1
"Malurus assimilis","Talitrus assimilis",TRUE,0.833333313465118,2983397,FALSE,"hidden",3
"Leistes militaris","Sturnella militaris",FALSE,1,979985,TRUE,"",1
"Amaurornis cinerea","Porzana cinerea",FALSE,1,3599939,TRUE,"",1
"Pitangus lictor","Philohydor lictor",FALSE,1,411373,TRUE,"",1
"Dendroplex picus","Xiphorhynchus picus",FALSE,1,227517,TRUE,"",1
"Orochelidon murina","Notiochelidon murina",FALSE,1,890939,TRUE,"",1
"Periparus venustulus","Pardaliparus venustulus",FALSE,1,24855,TRUE,"",1
"Emberiza goslingi","Fringillaria goslingi",FALSE,1,5267033,TRUE,"",1
"Cantorchilus leucotis","Thryothorus leucotis",FALSE,1,932491,TRUE,"",1
"Lonchura oryzivora","Padda oryzivora",FALSE,1,453058,TRUE,"",1
"Crithagra atrogularis","Serinus atrogularis",FALSE,1,328905,TRUE,"sibling_higher",1
"Coccothraustes vespertinus","Hesperiphona vespertina",FALSE,1,518149,TRUE,"",1
"Agropsar sturninus","Sturnus sturninus",FALSE,1,848366,TRUE,"sibling_higher",1
