"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Accipiter gentilis",0.013605995464651,0.01545675803267,0.0171823059861126,0.0144574981346864,0.0121415696752686,0.00609789077455299,0.00466544158759768,0.00488459988196491,0.00152507635087765,0.00224192970885047,0.00243328059101729,0.0035020664017264,0.00251814189584723,0.00931436024185648,0.00858435826333548,-0.00955578732520158,0.0173717695743641,-0.0562320697302285,0.0300175218017767,-0.0812208349982023,0.00551041743314275,0.00545048814170227,0.00540754697624727,0.00538013005732248,0.00536477754085842,1712821,0.0300175218017767,902
"Accipiter nisus",0.000179258050167653,0.0306449245232111,0.0320367956572819,0.0189076037616341,0.0012578522691456,-0.00490836209803065,-0.0066226256853451,-0.00764867919037529,-0.0087178454191426,-0.0089400193554241,-0.00858968202005073,-0.00852075099847715,-0.00584347523387377,-0.00699040304530462,-0.0147248473680876,-0.0217351035970297,-0.0153164635803298,0.0277521015421546,-0.000962103961464255,-0.00038953028557108,-0.0101048173002502,-0.0076171298020075,0.0098596135504648,-0.00901806503581315,-0.00678283971463634,18706083,0.0320367956572819,238
"Accipiter striatus",-0.00750962025669567,-0.00889634684706125,-0.0100180734281551,-0.00995180672839323,-0.00849599055123474,-0.00368619296700048,-0.00311984091815916,-0.00101685233797751,-0.00135075461758998,-0.00100712710377362,-0.0010414836996997,-0.00195402902649337,-0.00273874690279659,-0.00221434630386668,-0.000913533298757616,-0.00104575442322116,-0.0046128716849306,-0.0118746482588692,-0.0122869426206021,-0.0222376806620203,-0.0272558721005387,-0.0245610400054771,0.0972160062317902,-0.00618909217002057,-0.00191405324070234,1282643,0.0972160062317902,136
"Acridotheres tristis",NA,NA,NA,0.0621656909212462,0.0622521761506241,0.062022824755672,0.0611272497850954,0.0430128667857455,0.0417166606894478,0.0393073656543725,0.0346965685644393,0.0271973778824957,0.017717381320254,0.0087959928566681,0.00295575860087083,0.000723974152300633,0.000338530318871766,-0.000429079073641536,-0.00215885166961538,-0.00362772522257981,NA,NA,NA,NA,NA,59142818,0.0622521761506241,113
"Acrocephalus melanopogon",NA,NA,NA,NA,NA,0.0467829415882348,0.0387030571392919,0.0248111785017291,-0.00991221140337895,-0.0155831189017068,-0.0188367995513183,-0.0201160105545557,-0.0298889555245014,-0.0298889555245019,-0.0298889555245014,-0.0298889555245019,-0.0298889555245019,-0.0298889555245014,NA,NA,NA,NA,NA,NA,NA,2655336,0.0467829415882348,10.9
"Alectoris rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0165088128084556,-0.0185679985959271,-0.0176303090591774,-0.00935620355926026,0.00811984808133582,0.0140156648716099,0.0159611493818066,0.0131050018582945,0.00627824898206221,-0.0033341806449632,-0.0142872013822449,-0.0246262379244514,-0.0325055303259044,-0.0368936221531832,1496778,0.0159611493818066,528
"Anthus cervinus",-0.0592055580877214,-0.0592055580877213,-0.0592055580877214,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877214,-0.0592055580877214,-0.0592055580877214,-0.0592055580877215,-0.0592055580877213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26285626,-0.0592055580877213,20.9
"Anthus pratensis",-0.00587157059152615,-0.0048308370865382,-0.00728520562076901,-0.0130587175906179,-0.0134148085465974,-0.0208464245823926,-0.023340093878659,-0.044355227544448,-0.0482901254712587,-0.0478203235268155,-0.0435838705783676,-0.0404149584967627,-0.0208400431275101,-0.0334486214210495,-0.0420425272861509,0.00560663101118841,-0.0881378624498347,-0.0466568689281875,-0.0464367973324156,-0.0113004572730217,-0.00755408038284666,-0.00899061358264593,-0.0121763283873159,-0.00966526428357128,0.00573281118002411,245281141,0.00573281118002411,18.4
"Anthus rubescens",-0.0254606336333612,-0.025460633620177,-0.0254606336066977,-0.0254606335930468,-0.0254606335794092,-0.0254606335660047,-0.0254606335530462,-0.0254606335407456,-0.0254606335294283,-0.0254606335196527,-0.0254606335120403,-0.0254606335068192,-0.0254606335035603,-0.0254606335015749,-0.0254606335005714,-0.0254606335007586,-0.025460633502211,-0.0254606335043668,-0.0254606335063643,-0.025460633507818,-0.0254606335090388,-0.0254606335104983,-0.0254606335122556,-0.0254606335139829,-0.0254606335153449,3363022,-0.0254606335005714,20.7
"Anthus spinoletta",NA,NA,NA,-0.0163756942353206,-0.0163756942352151,-0.016375694235008,-0.0163756942347315,-0.0163756942344258,-0.0163756942341236,-0.0163756942338458,-0.0163756942335932,-0.0163756942333457,0.0339725957334794,0.0101735563959744,-0.121077368738666,-0.0396863543205547,0.02302810163635,-0.0336852213465649,-0.0308343800089594,-0.0288664687730653,-0.0267179668837658,-0.0227912626228419,-0.016436581730348,-0.00853238187111993,-0.000784998156236061,14704144,0.0339725957334794,23.9
