"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Accipiter gentilis",0.013605995464651,0.01545675803267,0.0171823059861126,0.0144574981346864,0.0121415696752686,0.00609789077455299,0.00466544158759768,0.00488459988196491,0.00152507635087765,0.00224192970885047,0.00243328059101729,0.0035020664017264,0.00251814189584723,0.00931436024185648,0.00858435826333548,-0.00955578732520158,0.0173717695743641,-0.0562320697302285,0.0300175218017767,-0.0812208349982023,0.00551041743314275,0.00545048814170227,0.00540754697624727,0.00538013005732248,0.00536477754085842,1712821,0.0300175218017767,902
"Accipiter striatus",-0.00750962025669567,-0.00889634684706125,-0.0100180734281551,-0.00995180672839323,-0.00849599055123474,-0.00368619296700048,-0.00311984091815916,-0.00101685233797751,-0.00135075461758998,-0.00100712710377362,-0.0010414836996997,-0.00195402902649337,-0.00273874690279659,-0.00221434630386668,-0.000913533298757616,-0.00104575442322116,-0.0046128716849306,-0.0118746482588692,-0.0122869426206021,-0.0222376806620203,-0.0272558721005387,-0.0245610400054771,0.0972160062317902,-0.00618909217002057,-0.00191405324070234,1282643,0.0972160062317902,136
"Acrocephalus melanopogon",NA,NA,NA,NA,NA,0.0467829415882348,0.0387030571392919,0.0248111785017291,-0.00991221140337895,-0.0155831189017068,-0.0188367995513183,-0.0201160105545557,-0.0298889555245014,-0.0298889555245019,-0.0298889555245014,-0.0298889555245019,-0.0298889555245019,-0.0298889555245014,NA,NA,NA,NA,NA,NA,NA,2655336,0.0467829415882348,10.9
"Alectoris rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0165088128084556,-0.0185679985959271,-0.0176303090591774,-0.00935620355926026,0.00811984808133582,0.0140156648716099,0.0159611493818066,0.0131050018582945,0.00627824898206221,-0.0033341806449632,-0.0142872013822449,-0.0246262379244514,-0.0325055303259044,-0.0368936221531832,1496778,0.0159611493818066,528
"Anthus rubescens",-0.0254606336333612,-0.025460633620177,-0.0254606336066977,-0.0254606335930468,-0.0254606335794092,-0.0254606335660047,-0.0254606335530462,-0.0254606335407456,-0.0254606335294283,-0.0254606335196527,-0.0254606335120403,-0.0254606335068192,-0.0254606335035603,-0.0254606335015749,-0.0254606335005714,-0.0254606335007586,-0.025460633502211,-0.0254606335043668,-0.0254606335063643,-0.025460633507818,-0.0254606335090388,-0.0254606335104983,-0.0254606335122556,-0.0254606335139829,-0.0254606335153449,3363022,-0.0254606335005714,20.7
"Anthus spragueii",-0.0010721867078403,-0.00328165042722782,-0.0153860700661063,-0.0357499468239421,-0.0504374418149075,-0.0473039512158803,-0.0286108961373073,-0.00777432887571841,0.00196118959152219,-0.00423811853349325,-0.0192198299322316,-0.0271035102154628,-0.0170242591617266,0.0033010762743374,0.0136824543231875,0.00456023028723886,-0.0119568247126769,-0.0185266623521938,-0.0138213403925477,-0.0105209850431304,-0.0165088575540312,-0.0266114687800854,-0.0320784714625286,-0.0306196684050265,-0.0256624925053766,2528589,0.0136824543231875,25.5
"Aquila audax",-0.0114804584734369,0.0109189401808969,0.00981461707043885,-0.0175678566234365,-0.0295236699502184,-0.00762832315895134,0.0198373963371923,0.0227717544912828,0.00544667329616277,-0.011696854329188,-0.0212070487939205,-0.0243380542981392,-0.0163052479856626,0.00449639340273544,0.0227397577176256,0.021168459962722,0.0054294134093229,-0.00338888882101018,-0.0190578390993459,NA,NA,NA,NA,NA,NA,1394979,0.0227717544912828,3466
"Aquila chrysaetos",0.0193938778424122,-0.0400088093634174,-0.024998226851856,0.0015074107678212,0.0259509926654557,0.0430566275284569,0.0351830291368348,0.0141670712812159,-0.00154806681727559,0.000431341629719484,0.0845139242944132,0.0938852539405988,0.0841263521122333,0.0664973072815029,0.03571005550918,0.116615899760795,-0.0885949644112275,0.149153324703595,-0.0147284554356902,-0.123032252325613,0.0136798018305175,0.00492015701319213,0.0103802394681947,0.0242166649914797,0.0242090034876419,3515253,0.149153324703595,4264
"Aquila rapax",-0.0419831753279943,-0.0215414995526159,-0.00363710155930325,0.0071560109840349,0.0109112392950348,NA,0.00647560926139426,0.00647560926139407,0.00647560926139429,0.00647560926139423,0.00647560926139409,0.0064756092613942,0.00647560926139423,0.0064756092613942,0.00647560926139415,0.00647560926139423,0.00647560926139419,0.00647560926139419,0.0064756092613942,0.00647560926139416,0.00647560926139416,0.00647560926139422,0.0064756092613942,0.00647560926139418,0.00647560926139423,2961349,0.0109112392950348,2250
"Atrichornis clamosus",0.0268480728281986,0.0362319314847246,0.0399757317817411,0.0352649050283533,0.0309068357691329,0.0362433680923115,0.0480506039409847,0.0173821753083356,0.0106309808480096,-0.00827901216533178,-0.0184759573590438,-0.000551699889374424,0.0464575843479533,0.0569657387832365,-0.0383073005972214,-0.0659981722579341,-0.0705268517635724,-0.0556599182810611,0.0202638439118332,0.00980797251008392,NA,NA,NA,NA,NA,11,0.0569657387832365,43.1
"Aythya ferina",0.058968580132974,0.056808022772028,-0.0911378390576799,-0.133081409061863,-0.0105759240441905,0.0409331015561889,0.0931511824003349,-0.00496235041510153,0.0398924168596467,-0.0914829612046673,-0.0292641736891724,0.0946171994423194,0.0202809825317285,-0.0275971278891308,-0.0120739578078959,-0.0488722075361291,-0.0752009269772683,-0.103114065208373,0.172371258591998,0.073628938913358,0.102948130465873,0.0380702297057978,-0.136577488558439,-0.39118729337311,0.125922619523624,6271618,0.172371258591998,823
"Bartramia longicauda",-0.00564417750741595,-0.00579291295795995,-0.00594263206661846,-0.00615719499091509,-0.00642873626304911,-0.0189042072603035,-0.00962048852212005,-0.00986550823034217,-0.0100761371686543,-0.0101864664431975,-0.0101222657333922,-0.00986590774121673,-0.00944944832560167,-0.00891223413262256,-0.00829870441273192,-0.00768033314924772,-0.00713719701785522,-0.00671139169320809,-0.00640183503233284,-0.00620300028093597,-0.00611911154189157,-0.0061366465886153,-0.00621665425311818,-0.00632961156537114,-0.00646930416602605,4132828,-0.00564417750741595,159
