"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"Actitis macularius","Actitis macularia",FALSE,1,810558,TRUE,"",1
"Amblyrhynchote honckenii","Geneion honckenii",FALSE,1,7650899,TRUE,"",1
"Anser canagicus","Anser canagica",FALSE,1,166688,TRUE,"",1
"Aquila fasciata","Hieraaetus fasciatus",FALSE,1,283160,TRUE,"sibling_higher",1
"Aramides cajaneus","Aramides cajanea",TRUE,0.875,906602,FALSE,"",1
"Arctoraja parmifera","Bathyraja parmifera",TRUE,0.789473712444305,529910,FALSE,"",1
"Ardea plumifera","Andrena pallidifovea",TRUE,0.823529422283173,3262230,FALSE,"sibling_higher",1
"Astyanax panamensis","Styrax panamensis",TRUE,0.823529422283173,6053624,FALSE,"",3
"Atherina woodwardi","Hypoatherina woodwardi",FALSE,1,3640992,TRUE,"",1
"Beringraja binoculata","Raja binoculata",FALSE,1,389361,TRUE,"",1
"Bonasa bonasia","Tetrastes bonasia",FALSE,1,259105,TRUE,"",1
"Bugeranus carunculatus","Grus carunculatus",FALSE,1,414343,TRUE,"",1
"Catharacta antarctica","Stercorarius antarcticus",FALSE,1,1073505,TRUE,"",1
"Catharacta skua","Stercorarius skua",FALSE,1,742633,TRUE,"",1
"Centropyge loriculus","Centropyge loricula",FALSE,1,222637,TRUE,"",1
"Chlidonias hybrida","Chlidonias hybridus",FALSE,1,915886,TRUE,"",1
"Chloebia gouldiae","Erythrura gouldiae",FALSE,1,465909,TRUE,"",1
"Chlorodrepanis virens","Hemignathus virens",FALSE,1,157610,TRUE,"sibling_higher",1
"Chrysophrys auratus","Pagrus auratus",FALSE,1,554560,TRUE,"",2
"Clanga pomarina","Aquila pomarina",FALSE,1,588041,TRUE,"",1
"Clemmys insculpta","Glyptemys insculpta",FALSE,1,743503,TRUE,"",1
"Crenimugil buchanani","Valamugil buchanani",FALSE,1,781370,TRUE,"",1
"Cyanecula svecica","Luscinia svecica",FALSE,1,274225,TRUE,"",1
"Damaliscus korrigum","Damaliscus lunatus korrigum",FALSE,1,540240,TRUE,"infraspecific",1
"Dendroplex picus","Xiphorhynchus picus",FALSE,1,227517,TRUE,"",1
"Drepanis coccinea","Vestiaria coccinea",FALSE,1,823302,TRUE,"",1
"Dryobates minor","Dendrocopos minor",FALSE,1,701710,TRUE,"sibling_higher",1
"Dryobates pubescens","Picoides pubescens",FALSE,1,873958,TRUE,"sibling_higher",1
"Emberiza aureola","Schoeniclus aureolus",FALSE,1,45309,TRUE,"",1
