"Binomial","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Acanthiza apicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4123993,-Inf,7.5
"Acanthiza reguloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0203622000168233,-0.0340167347257033,-0.0572870742798081,-0.0861359777492582,-0.125125314270568,-0.182776587888091,-0.257121195015008,-0.330214233077537,-0.38069282515753,-0.401843035550034,-0.405155358296495,NA,NA,NA,NA,NA,1514367,-0.0203622000168233,7.7
"Acanthiza uropygialis",-0.0176179311690705,-0.0274905744649574,-0.0385502954826966,-0.0499647920690682,-0.0610521984565662,-0.0706197556171869,-0.076051168018837,-0.0742904320279044,-0.0647715532558417,-0.0510454867869331,-0.0383437896542388,-0.0290989786893001,-0.0215336988519459,-0.0130635430406204,-0.0042091555877809,0.00196213696500203,0.00390611477981428,0.00354765960768932,NA,NA,NA,NA,NA,NA,NA,6679049,0.00390611477981428,6.4
"Accipiter cooperii",0.00754893339681627,0.00684286268720567,0.00604451354537007,0.00510370091270152,0.00405593051689166,0.0030350339859985,0.00217791690163967,0.0015939193457739,0.00140871041595291,0.00172684594229994,0.0025021098650278,0.00351388929483224,0.00453238928566934,0.00546836410543435,0.00631185297791185,0.00697890775845169,0.00732477259783752,0.00706252804217578,0.00692278668389443,0.00682578981718057,0.00144853676228018,0.00147920834441847,0.00150417245539585,0.00152204462670533,0.00153211339051056,2701765,0.00754893339681627,439
"Accipiter gentilis",0.013605995464651,0.01545675803267,0.0171823059861126,0.0144574981346864,0.0121415696752686,0.00609789077455299,0.00466544158759768,0.00488459988196491,0.00152507635087765,0.00224192970885047,0.00243328059101729,0.0035020664017264,0.00251814189584723,0.00931436024185648,0.00858435826333548,-0.00955578732520158,0.0173717695743641,-0.0562320697302285,0.0300175218017767,-0.0812208349982023,0.00551041743314275,0.00545048814170227,0.00540754697624727,0.00538013005732248,0.00536477754085842,1712821,0.0300175218017767,902
"Accipiter nisus",0.000179258050167653,0.0306449245232111,0.0320367956572819,0.0189076037616341,0.0012578522691456,-0.00490836209803065,-0.0066226256853451,-0.00764867919037529,-0.0087178454191426,-0.0089400193554241,-0.00858968202005073,-0.00852075099847715,-0.00584347523387377,-0.00699040304530462,-0.0147248473680876,-0.0217351035970297,-0.0153164635803298,0.0277521015421546,-0.000962103961464255,-0.00038953028557108,-0.0101048173002502,-0.0076171298020075,0.0098596135504648,-0.00901806503581315,-0.00678283971463634,18706083,0.0320367956572819,238
"Accipiter striatus",-0.00750962025669567,-0.00889634684706125,-0.0100180734281551,-0.00995180672839323,-0.00849599055123474,-0.00368619296700048,-0.00311984091815916,-0.00101685233797751,-0.00135075461758998,-0.00100712710377362,-0.0010414836996997,-0.00195402902649337,-0.00273874690279659,-0.00221434630386668,-0.000913533298757616,-0.00104575442322116,-0.0046128716849306,-0.0118746482588692,-0.0122869426206021,-0.0222376806620203,-0.0272558721005387,-0.0245610400054771,0.0972160062317902,-0.00618909217002057,-0.00191405324070234,1282643,0.0972160062317902,136
"Acridotheres tristis",NA,NA,NA,0.0621656909212462,0.0622521761506241,0.062022824755672,0.0611272497850954,0.0430128667857455,0.0417166606894478,0.0393073656543725,0.0346965685644393,0.0271973778824957,0.017717381320254,0.0087959928566681,0.00295575860087083,0.000723974152300633,0.000338530318871766,-0.000429079073641536,-0.00215885166961538,-0.00362772522257981,NA,NA,NA,NA,NA,59142818,0.0622521761506241,113
"Acrocephalus agricola",NA,NA,NA,NA,NA,NA,NA,NA,0.0579919469776868,0.166947879615811,-0.166947879615811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9529586,0.166947879615811,9.6
"Acrocephalus arundinaceus",0.0486941596097524,0.0331142208438805,0.0154534835781801,0.00254403294069575,-0.00559109631581212,-0.0252550817261199,-0.0183394255563863,-0.00119394990592985,0.0016899997166583,0.00576380581713497,-0.00272419185311049,0.00128290419092203,0.052834089326522,0.0324919482387646,0.080534731288755,0.0327682986600856,0.0390955091491671,0.0256608431717381,0.0244768816900996,0.00818426906004034,0.00937746509072211,0.0064911384351615,-0.000211736378245009,-0.00363414646297874,-0.000190072819357817,24440618,0.080534731288755,30
"Acrocephalus melanopogon",NA,NA,NA,NA,NA,0.0467829415882348,0.0387030571392919,0.0248111785017291,-0.00991221140337895,-0.0155831189017068,-0.0188367995513183,-0.0201160105545557,-0.0298889555245014,-0.0298889555245019,-0.0298889555245014,-0.0298889555245019,-0.0298889555245019,-0.0298889555245014,NA,NA,NA,NA,NA,NA,NA,2655336,0.0467829415882348,10.9
"Acrocephalus palustris",-0.00871184768761113,-0.0147725695915679,-0.0203142079827754,-0.0206943119361074,-0.0129095076690513,-0.000102250592697306,0.0105893525937439,0.014308910495989,0.0114098493034791,0.0049685336620855,-0.00232817509256966,-0.00854093542278234,-0.0121017579504428,-0.0127228863390623,-0.0116967904298337,-0.0101131957767562,-0.00768138914063021,-0.00446169615505632,-0.00255696982088915,-0.00399929577682689,-0.00726472539709633,-0.0081286883913172,-0.00468219322611785,9.32602711589681e-05,0.00163925335088533,4790312,0.014308910495989,11.5
"Acrocephalus schoenobaenus",-0.010572458394013,-0.0198614625921102,-0.0272365519607305,-0.0275706682876766,-0.0223439195256746,-0.016298258625152,-0.0124354349044149,0.0734316260685437,0.0683149318742358,0.0587417814500083,0.045240115005815,0.0374635865928387,0.051701085706835,0.0402553503377419,0.0292555437675363,0.021523850327948,0.0181491208227933,0.00799948686901214,0.00987088202867437,0.0162808002914019,0.0175162100158601,0.0140460730910559,0.00698902183803529,-0.00164277527862033,-0.0111300313403317,21454553,0.0734316260685437,11.9
